Radionuclide,id,Z,A,Half-life_s,Num_decay_modes,Progeny,Branching_fractions,Modes,Atomic_mass
H-3,10030000,1,3,388789632.0,1,[20030000],[1.0],['β-'],3.01604928199
H-6,10060000,1,6,2.016583747927032e-23,1,[10050000],[1.0],['SF or other'],6.044955437
He-5,20050000,2,5,8.167164179104479e-24,0,[],[],[],5.012057224
He-6,20060000,2,6,0.8067000000000001,1,[30060000],[1.0],['β-'],6.018885891
He-7,20070000,2,7,1.8905472636815923e-18,0,[],[],[],7.027990654
He-8,20080000,2,8,0.1191,2,"[30070000, 30080000]","[0.16, 0.84]","['SF or other', 'β-']",8.03393439
He-10,20100000,2,10,3.7810945273631846e-18,1,[20090000],[1.0],['SF or other'],10.052815308
Li-5,30050000,3,5,1.5502487562189055e-23,0,[],[],[],5.0125378
Li-8,30080000,3,8,0.8399,1,[40080000],[1.0],['β-'],8.022486246
Li-9,30090000,3,9,0.17830000000000001,2,"[40080000, 40090000]","[0.5080000000000001, 0.4919999999999999]","['SF or other', 'β-']",9.026790191
Li-11,30110000,3,11,0.00875,1,[40110000],[1.0],['β-'],11.043723581
Be-6,40060000,4,6,1.1595356550580432e-18,1,[20040000],[1.0],['SF or other'],6.0197264090000004
Be-7,40070000,4,7,4598208.0,1,[30070000],[1.0],['β+ or EC'],7.016928717
Be-8,40080000,4,8,7.02023217247098e-17,1,[20040000],[1.0],['α'],8.005305102
Be-10,40100000,4,10,47651976000000.0,1,[50100000],[1.0],['β-'],10.013534695
Be-11,40110000,4,11,13.76,1,[50110000],[1.0],['β-'],11.021661081
Be-12,40120000,4,12,0.0213,1,[50120000],[1.0],['β-'],12.026922083
Be-13,40130000,4,13,2.7e-21,0,[],[],[],13.036134507
Be-14,40140000,4,14,0.00435,3,"[50120000, 50130000, 50140000]","[0.05, 0.81, 0.14]","['SF or other', 'SF or other', 'β-']",14.04289292
Be-15,40150000,4,15,7.31011608623549e-24,1,[40140000],[1.0],['SF or other'],15.053490215
Be-16,40160000,4,16,1.008291873963516e-23,1,[40150000],[1.0],['SF or other'],16.061672036
B-7,50070000,5,7,1.0095522388059701e-17,1,[40060000],[1.0],['SF or other'],7.029712
B-8,50080000,5,8,0.77,2,"[20040000, 40080000]","[0.0, 1.0]","['SF or other', 'β+ or EC']",8.024607316
