,parent,hl_factor,decay_time,pyne_missing_nuclide,rd_activity
0,Fl-285,0.0,0.0,Ds-277,0.0
1,Fl-285,0.0,0.0,Hs-273,0.0
2,Fl-285,0.0,0.0,Rf-265,0.0
3,Fl-285,0.0,0.0,Cn-281,0.0
4,Cn-285,0.0,0.0,Ds-281,0.0
5,Rg-282,0.0,0.0,Bh-274,0.0
6,Rg-282,0.0,0.0,Mt-278,0.0
7,Rg-282,0.0,0.0,Db-270,0.0
8,Cn-281,0.0,0.0,Ds-277,0.0
9,Cn-281,0.0,0.0,Hs-273,0.0
10,Cn-281,0.0,0.0,Rf-265,0.0
11,Cn-281,0.0,0.0,Sg-269,0.0
12,Rg-280,0.0,0.0,Mt-276,0.0
13,Rg-280,0.0,0.0,Db-268,0.0
14,Ds-279,0.0,0.0,Hs-275,0.0
15,Ds-279,0.0,0.0,Sg-271,0.0
16,Rg-278,0.0,0.0,Mt-274,0.0
17,Mt-278,0.0,0.0,Bh-274,0.0
18,Mt-278,0.0,0.0,Db-270,0.0
19,Cn-277,0.0,0.0,Ds-273,0.0
20,Cn-277,0.0,0.0,Sg-265,0.0
21,Ds-277,0.0,0.0,Hs-273,0.0
22,Ds-277,0.0,0.0,Rf-265,0.0
23,Ds-277,0.0,0.0,Sg-269,0.0
24,Mt-276,0.0,0.0,Bh-272,0.0
25,Mt-276,0.0,0.0,Db-268,0.0
26,Hs-275,0.0,0.0,Sg-271,0.0
27,Bh-274,0.0,0.0,Db-270,0.0
28,Ds-273,0.0,0.0,Hs-269,0.0
29,Ds-273,0.0,0.0,Sg-265,0.0
30,Hs-273,0.0,0.0,Sg-269,0.0
31,Rg-272,0.0,0.0,Mt-268,0.0
32,Rg-272,0.0,0.0,Bh-264,0.0
33,Bh-272,0.0,0.0,Db-268,0.0
34,Ds-271,0.0,0.0,Hs-267,0.0
35,Ds-270,0.0,0.0,Hs-266,0.0
36,Mt-270,0.0,0.0,Lr-258,0.0
37,Mt-270,0.0,0.0,Bh-266,0.0
38,Mt-270,0.0,0.0,Db-262,0.0
39,Hs-270,0.0,0.0,Sg-266,0.0
40,Hs-269,0.0,0.0,Sg-265,0.0
41,Sg-269,0.0,0.0,Rf-265,0.0
42,Mt-268,0.0,0.0,Bh-264,0.0
43,Bh-267,0.0,0.0,Cm-247,0.0
44,Bh-267,0.0,0.0,Ac-227,0.0
45,Bh-267,0.0,0.0,Md-255,0.0
46,Bh-267,0.0,0.0,Pm-147,0.0
47,Bh-267,0.0,0.0,U-235,0.0
48,Bh-267,0.0,0.0,Sm-147,0.0
49,Bh-267,0.0,0.0,Nd-144,0.0
50,Bh-267,0.0,0.0,Bk-247,0.0
51,Bh-267,0.0,0.0,Es-251,0.0
52,Bh-267,0.0,0.0,Xe-136,0.0
53,Bh-267,0.0,0.0,Sm-151,0.0
54,Bh-267,0.0,0.0,Rn-219,0.0
55,Bh-267,0.0,0.0,In-115,0.0
56,Bh-267,0.0,0.0,Cd-113,0.0
57,Bh-267,0.0,0.0,Ra-223,0.0
58,Bh-267,0.0,0.0,Th-231,0.0
59,Bh-267,0.0,0.0,Fr-223,0.0
60,Bh-267,0.0,0.0,At-219,0.0
61,Bh-267,0.0,0.0,Pb-209,0.0
62,Bh-267,0.0,0.0,Po-215,0.0
63,Bh-267,0.0,0.0,Pb-211,0.0
64,Bh-267,0.0,0.0,Th-227,0.0
65,Bh-267,0.0,0.0,Bi-209,0.0
66,Bh-267,0.0,0.0,Sm-148,0.0
67,Bh-267,0.0,0.0,Db-263,0.0
68,Bh-267,0.0,0.0,Bi-211,0.0
69,Bh-267,0.0,0.0,Xe-134,0.0
70,Bh-267,0.0,0.0,Fm-255,0.0
71,Bh-267,0.0,0.0,Cs-135,0.0
72,Bh-267,0.0,0.0,Pa-231,0.0
73,Hs-266,0.0,0.0,Sg-262,0.0
74,Bh-266,0.0,0.0,Lr-258,0.0
75,Bh-266,0.0,0.0,Db-262,0.0
76,Hs-265,0.0,0.0,Pa-233,0.0
77,Hs-265,0.0,0.0,Es-253,0.0
78,Hs-265,0.0,0.0,Gd-152,0.0
79,Hs-265,0.0,0.0,Bi-213,0.0
80,Hs-265,0.0,0.0,Np-237,0.0
81,Hs-265,0.0,0.0,Fm-249,0.0
82,Hs-265,0.0,0.0,Sm-147,0.0
83,Hs-265,0.0,0.0,Pd-107,0.0
84,Hs-265,0.0,0.0,Nd-144,0.0
85,Hs-265,0.0,0.0,Pu-237,0.0
86,Hs-265,0.0,0.0,Xe-136,0.0
87,Hs-265,0.0,0.0,Sg-261,0.0
88,Hs-265,0.0,0.0,At-217,0.0
89,Hs-265,0.0,0.0,Po-213,0.0
90,Hs-265,0.0,0.0,In-115,0.0
91,Hs-265,0.0,0.0,Cd-113,0.0
92,Hs-265,0.0,0.0,Cm-241,0.0
93,Hs-265,0.0,0.0,Am-245,0.0
94,Hs-265,0.0,0.0,Bk-249,0.0
95,Hs-265,0.0,0.0,Tc-99,0.0
96,Hs-265,0.0,0.0,Sm-148,0.0
97,Hs-265,0.0,0.0,Xe-134,0.0
98,Hs-265,0.0,0.0,Rf-257,0.0
99,Hs-265,0.0,0.0,Cs-135,0.0
100,Hs-265,0.0,0.0,Bk-245,0.0
101,Hs-264,0.0,0.0,Sg-260,0.0
102,Hs-264,0.0,0.0,Rf-256,0.0
103,Db-263,0.0,0.0,Sb-125,0.0
104,Db-263,0.0,0.0,Cm-247,0.0
105,Db-263,0.0,0.0,Ra-227,0.0
106,Db-263,0.0,0.0,At-215,0.0
107,Db-263,0.0,0.0,Md-255,0.0
108,Db-263,0.0,0.0,Pu-243,0.0
109,Db-263,0.0,0.0,Cs-137,0.0
110,Db-263,0.0,0.0,Pm-147,0.0
111,Db-263,0.0,0.0,Pm-149,0.0
112,Db-263,0.0,0.0,Am-243,0.0
113,Db-263,0.0,0.0,Eu-154,0.0
114,Db-263,0.0,0.0,Nd-144,0.0
115,Db-263,0.0,0.0,Bk-247,0.0
116,Db-263,0.0,0.0,Es-251,0.0
117,Db-263,0.0,0.0,Xe-136,0.0
118,Db-263,0.0,0.0,Sm-151,0.0
119,Db-263,0.0,0.0,Rn-219,0.0
120,Db-263,0.0,0.0,I-135,0.0
121,Db-263,0.0,0.0,In-115,0.0
122,Db-263,0.0,0.0,Xe-135,0.0
123,Db-263,0.0,0.0,Pu-239,0.0
124,Db-263,0.0,0.0,Ra-223,0.0
125,Db-263,0.0,0.0,Fr-223,0.0
126,Db-263,0.0,0.0,Rh-105,0.0
127,Db-263,0.0,0.0,Np-239,0.0
128,Db-263,0.0,0.0,Pm-148,0.0
129,Db-263,0.0,0.0,Bi-215,0.0
130,Db-263,0.0,0.0,Tc-99,0.0
131,Db-263,0.0,0.0,Th-227,0.0
132,Db-263,0.0,0.0,Bi-209,0.0
133,Db-263,0.0,0.0,Eu-152,0.0
134,Db-263,0.0,0.0,Cs-134,0.0
135,Db-263,0.0,0.0,Sm-148,0.0
136,Db-263,0.0,0.0,Bi-211,0.0
137,Db-263,0.0,0.0,Ru-103,0.0
138,Db-263,0.0,0.0,Xe-134,0.0
139,Db-263,0.0,0.0,Fm-255,0.0
140,Db-263,0.0,0.0,Cs-135,0.0
141,Db-263,0.0,0.0,Pa-231,0.0
142,Db-263,0.0,0.0,Lr-259,0.0
143,Rf-263,0.0,0.0,Sb-125,0.0
144,Rf-263,0.0,0.0,Cm-247,0.0
145,Rf-263,0.0,0.0,Ac-227,0.0
146,Rf-263,0.0,0.0,At-215,0.0
147,Rf-263,0.0,0.0,Cs-137,0.0
148,Rf-263,0.0,0.0,Pm-147,0.0
149,Rf-263,0.0,0.0,Am-243,0.0
150,Rf-263,0.0,0.0,Pd-107,0.0
151,Rf-263,0.0,0.0,Nd-144,0.0
152,Rf-263,0.0,0.0,Xe-136,0.0
153,Rf-263,0.0,0.0,No-259,0.0
154,Rf-263,0.0,0.0,Sm-151,0.0
155,Rf-263,0.0,0.0,Pu-239,0.0
156,Rf-263,0.0,0.0,Rh-105,0.0
157,Rf-263,0.0,0.0,At-219,0.0
158,Rf-263,0.0,0.0,Pb-209,0.0
159,Rf-263,0.0,0.0,Np-239,0.0
160,Rf-263,0.0,0.0,Po-215,0.0
161,Rf-263,0.0,0.0,Tc-99,0.0
162,Rf-263,0.0,0.0,Cf-251,0.0
163,Rf-263,0.0,0.0,Rh-106,0.0
164,Rf-263,0.0,0.0,Th-227,0.0
165,Rf-263,0.0,0.0,Eu-152,0.0
166,Rf-263,0.0,0.0,Sm-148,0.0
167,Rf-263,0.0,0.0,Fm-255,0.0
168,Rf-263,0.0,0.0,Md-259,0.0
169,Db-262,0.0,0.0,Lr-258,0.0
170,Bh-261,0.0,0.0,Db-257,0.0
171,Sg-261,0.0,0.0,Sb-125,0.0
172,Sg-261,0.0,0.0,Lr-257,0.0
173,Sg-261,0.0,0.0,Pa-233,0.0
174,Sg-261,0.0,0.0,No-253,0.0
175,Sg-261,0.0,0.0,Es-253,0.0
176,Sg-261,0.0,0.0,Gd-152,0.0
177,Sg-261,0.0,0.0,Np-237,0.0
178,Sg-261,0.0,0.0,Fm-249,0.0
179,Sg-261,0.0,0.0,Am-241,0.0
180,Sg-261,0.0,0.0,Sm-147,0.0
181,Sg-261,0.0,0.0,Eu-154,0.0
182,Sg-261,0.0,0.0,Pd-107,0.0
183,Sg-261,0.0,0.0,Nd-144,0.0
184,Sg-261,0.0,0.0,Pu-237,0.0
185,Sg-261,0.0,0.0,Cf-245,0.0
186,Sg-261,0.0,0.0,Xe-136,0.0
187,Sg-261,0.0,0.0,Sm-151,0.0
188,Sg-261,0.0,0.0,I-135,0.0
189,Sg-261,0.0,0.0,In-115,0.0
190,Sg-261,0.0,0.0,Cd-113,0.0
191,Sg-261,0.0,0.0,Es-249,0.0
192,Sg-261,0.0,0.0,Xe-135,0.0
193,Sg-261,0.0,0.0,Md-253,0.0
194,Sg-261,0.0,0.0,Cm-241,0.0
195,Sg-261,0.0,0.0,Rn-217,0.0
196,Sg-261,0.0,0.0,Rh-105,0.0
197,Sg-261,0.0,0.0,Ru-106,0.0
198,Sg-261,0.0,0.0,Tc-99,0.0
199,Sg-261,0.0,0.0,Te-127,0.0
200,Sg-261,0.0,0.0,Eu-152,0.0
201,Sg-261,0.0,0.0,Sm-148,0.0
202,Sg-261,0.0,0.0,Ru-103,0.0
203,Sg-261,0.0,0.0,Xe-134,0.0
204,Sg-261,0.0,0.0,Rf-257,0.0
205,Sg-261,0.0,0.0,Cs-135,0.0
206,Sg-261,0.0,0.0,Bk-245,0.0
207,Rf-261,0.0,0.0,Sb-125,0.0
208,Rf-261,0.0,0.0,Pa-233,0.0
209,Rf-261,0.0,0.0,Bi-213,0.0
210,Rf-261,0.0,0.0,Cs-137,0.0
211,Rf-261,0.0,0.0,Am-241,0.0
212,Rf-261,0.0,0.0,Pm-149,0.0
213,Rf-261,0.0,0.0,Sm-147,0.0
214,Rf-261,0.0,0.0,Eu-155,0.0
215,Rf-261,0.0,0.0,Tl-207,0.0
216,Rf-261,0.0,0.0,U-233,0.0
217,Rf-261,0.0,0.0,Eu-154,0.0
218,Rf-261,0.0,0.0,Pd-107,0.0
219,Rf-261,0.0,0.0,Xe-136,0.0
220,Rf-261,0.0,0.0,I-135,0.0
221,Rf-261,0.0,0.0,Po-211,0.0
222,Rf-261,0.0,0.0,At-217,0.0
223,Rf-261,0.0,0.0,Po-213,0.0
224,Rf-261,0.0,0.0,In-115,0.0
225,Rf-261,0.0,0.0,Xe-135,0.0
226,Rf-261,0.0,0.0,Tl-209,0.0
227,Rf-261,0.0,0.0,Fm-253,0.0
228,Rf-261,0.0,0.0,Am-245,0.0
229,Rf-261,0.0,0.0,Ra-225,0.0
230,Rf-261,0.0,0.0,Rh-105,0.0
231,Rf-261,0.0,0.0,Rn-217,0.0
232,Rf-261,0.0,0.0,Ru-106,0.0
233,Rf-261,0.0,0.0,Pb-209,0.0
234,Rf-261,0.0,0.0,Pm-148,0.0
235,Rf-261,0.0,0.0,Bk-249,0.0
236,Rf-261,0.0,0.0,Rh-106,0.0
237,Rf-261,0.0,0.0,Bi-209,0.0
238,Rf-261,0.0,0.0,Eu-152,0.0
239,Rf-261,0.0,0.0,Te-127,0.0
240,Rf-261,0.0,0.0,Cs-134,0.0
241,Rf-261,0.0,0.0,Sm-148,0.0
242,Rf-261,0.0,0.0,No-257,0.0
243,Rf-261,0.0,0.0,Bi-211,0.0
244,Rf-261,0.0,0.0,Ru-103,0.0
245,Rf-261,0.0,0.0,Th-229,0.0
246,Rf-261,0.0,0.0,Fr-221,0.0
247,Bh-260,0.0,0.0,Db-256,0.0
248,Bh-260,0.0,0.0,Lr-252,0.0
249,Bh-260,0.0,0.0,No-252,0.0
250,Bh-260,0.0,0.0,Rf-256,0.0
251,Sg-260,0.0,0.0,No-252,0.0
252,Sg-260,0.0,0.0,Rf-256,0.0
253,Lr-260,0.0,0.0,Sm-147,0.0
254,Lr-260,0.0,0.0,Ac-228,0.0
255,Lr-260,0.0,0.0,Bi-210,0.0
256,Lr-260,0.0,0.0,Cd-113,0.0
257,Lr-260,0.0,0.0,In-115,0.0
258,Lr-260,0.0,0.0,Pd-107,0.0
259,Lr-260,0.0,0.0,Ra-228,0.0
260,Lr-260,0.0,0.0,Nd-144,0.0
261,Lr-260,0.0,0.0,Sm-148,0.0
262,Lr-260,0.0,0.0,Cm-248,0.0
263,Lr-260,0.0,0.0,Tl-206,0.0
264,Lr-260,0.0,0.0,Th-228,0.0
265,Lr-260,0.0,0.0,Md-256,0.0
266,Lr-260,0.0,0.0,Po-210,0.0
267,Lr-260,0.0,0.0,Bk-248,0.0
268,Lr-260,0.0,0.0,Xe-136,0.0
269,Lr-260,0.0,0.0,Cs-135,0.0
270,Lr-260,0.0,0.0,Cf-252,0.0
271,Sg-259,0.0,0.0,Sb-125,0.0
272,Sg-259,0.0,0.0,Ra-227,0.0
273,Sg-259,0.0,0.0,Pm-147,0.0
274,Sg-259,0.0,0.0,Pm-149,0.0
275,Sg-259,0.0,0.0,U-235,0.0
276,Sg-259,0.0,0.0,Cm-243,0.0
277,Sg-259,0.0,0.0,Eu-155,0.0
278,Sg-259,0.0,0.0,Eu-154,0.0
279,Sg-259,0.0,0.0,Nd-144,0.0
280,Sg-259,0.0,0.0,Xe-136,0.0
281,Sg-259,0.0,0.0,I-135,0.0
282,Sg-259,0.0,0.0,Rf-255,0.0
283,Sg-259,0.0,0.0,Xe-135,0.0
284,Sg-259,0.0,0.0,Th-231,0.0
285,Sg-259,0.0,0.0,Ru-106,0.0
286,Sg-259,0.0,0.0,Pm-148,0.0
287,Sg-259,0.0,0.0,No-251,0.0
288,Sg-259,0.0,0.0,Tc-99,0.0
289,Sg-259,0.0,0.0,Rh-106,0.0
290,Sg-259,0.0,0.0,Bi-209,0.0
291,Sg-259,0.0,0.0,Eu-152,0.0
292,Sg-259,0.0,0.0,Np-235,0.0
293,Sg-259,0.0,0.0,Cs-134,0.0
294,Sg-259,0.0,0.0,Te-127,0.0
295,Sg-259,0.0,0.0,Ru-103,0.0
296,Sg-259,0.0,0.0,Xe-134,0.0
297,Sg-259,0.0,0.0,Cs-135,0.0
298,Sg-259,0.0,0.0,Cf-243,0.0
299,Rf-259,0.0,0.0,Sb-125,0.0
300,Rf-259,0.0,0.0,Cm-247,0.0
301,Rf-259,0.0,0.0,Ra-227,0.0
302,Rf-259,0.0,0.0,At-215,0.0
303,Rf-259,0.0,0.0,Md-255,0.0
304,Rf-259,0.0,0.0,Fm-251,0.0
305,Rf-259,0.0,0.0,Pu-243,0.0
306,Rf-259,0.0,0.0,Cs-137,0.0
307,Rf-259,0.0,0.0,Pm-147,0.0
308,Rf-259,0.0,0.0,Cm-243,0.0
309,Rf-259,0.0,0.0,No-255,0.0
310,Rf-259,0.0,0.0,Pd-107,0.0
311,Rf-259,0.0,0.0,Nd-144,0.0
312,Rf-259,0.0,0.0,Bk-247,0.0
313,Rf-259,0.0,0.0,Es-251,0.0
314,Rf-259,0.0,0.0,Xe-136,0.0
