,parent,hl_factor,decay_time,rd_missing_nuclide,pyne_activity
0,He-10,0.0,0.0,Be-8,3.6425605825636152e-34
1,Ta-192,1e-06,2.2e-06,Re-192,9.530769974064326e-08
2,Tb-170,1e-06,9.6e-07,Ho-170,4.0182431243887335e-09
3,He-10,1e-06,3.781094527363184e-24,He-8,2.2005492045226704e-23
4,He-10,1e-06,3.781094527363184e-24,Be-8,3.64255970304498e-34
5,H-6,1e-06,2.0165837479270318e-29,H-3,3.5952318160397867e-38
6,Ta-192,1e-05,2.2000000000000003e-05,Re-192,9.530736159918396e-07
7,Tb-170,1e-05,9.600000000000001e-06,Ho-170,4.018230518047642e-08
8,He-10,1e-05,3.7810945273631847e-23,He-8,2.2005423407954066e-22
9,He-10,1e-05,3.7810945273631847e-23,Be-8,3.6425517873787363e-34
10,H-6,1e-05,2.0165837479270321e-28,H-3,3.595220602161639e-37
11,Ta-192,0.0001,0.00022000000000000003,Re-192,9.530398012261302e-06
12,Tb-170,0.0001,9.6e-05,Ho-170,4.018104459154851e-07
13,He-10,0.0001,3.781094527363185e-22,He-8,2.200473703825892e-21
14,He-10,0.0001,3.781094527363185e-22,Be-8,3.64247263086258e-34
15,H-6,0.0001,2.016583747927032e-27,H-3,3.5951084638754124e-36
16,Ta-192,0.001,0.0022,Re-192,9.52701732238298e-05
17,Tb-170,0.001,0.00096,Ho-170,4.0168441579915785e-06
18,He-10,0.001,3.781094527363185e-21,He-8,2.1997874909921252e-20
19,He-10,0.001,3.781094527363185e-21,Be-8,3.6416810803287965e-34
20,H-6,0.001,2.016583747927032e-26,H-3,3.593987337291438e-35
21,Ta-192,0.01,0.022000000000000002,Re-192,0.0009493288907314824
22,Tb-170,0.01,0.0096,Ho-170,4.0042699271240955e-05
23,He-10,0.01,3.781094527363185e-20,He-8,2.1929410328093773e-19
24,He-10,0.01,3.781094527363185e-20,Be-8,3.633767037586674e-34
25,H-6,0.01,2.016583747927032e-25,H-3,3.582801673169403e-34
26,Ta-192,0.1,0.22000000000000003,Re-192,0.009163718763690844
27,Tb-170,0.1,0.096,Ho-170,0.0003881356544100706
28,He-10,0.1,3.7810945273631846e-19,He-8,2.1260167020492154e-18
29,He-10,0.1,3.7810945273631846e-19,Be-8,3.5547726880718483e-34
30,H-6,0.1,2.016583747927032e-24,H-3,3.473461476312367e-33
31,Ta-192,1.0,2.2,Re-192,0.06521774528700224
32,Tb-170,1.0,0.96,Ho-170,0.002892068908554579
33,He-10,1.0,3.7810945273631846e-18,He-8,1.5873612625370212e-17
34,He-10,1.0,3.7810945273631846e-18,Be-8,2.7792570022834707e-34
35,H-6,1.0,2.016583747927032e-23,H-3,2.59341245489673e-32
36,Ta-192,10.0,22.0,Re-192,0.06130924032422953
37,Tb-170,10.0,9.6,Ho-170,0.005595554525787858
38,He-10,10.0,3.7810945273631844e-17,He-8,3.1716222101081486e-17
39,He-10,10.0,3.7810945273631844e-17,Li-8,4.998045246532661e-34
40,He-10,10.0,3.7810945273631844e-17,Be-8,2.9412999955398247e-34
41,H-6,10.0,2.016583747927032e-22,H-3,5.18175965109249e-32
42,Ta-192,100.0,220.00000000000003,Re-192,1.1571273374722178e-05
43,Tb-170,100.0,96.0,Ho-170,0.0039014471947367902
44,He-10,100.0,3.7810945273631846e-16,He-8,3.1747225250740356e-17
45,He-10,100.0,3.7810945273631846e-16,Li-8,7.996872394452257e-33
46,He-10,100.0,3.7810945273631846e-16,Be-8,6.695091860301794e-33
47,H-6,100.0,2.0165837479270322e-21,H-3,5.18682490979346e-32
48,Ta-192,1000.0,2200.0,Re-192,6.4702221282283884e-43
49,Tb-170,1000.0,960.0,Ho-170,0.00010486593935772045
50,He-10,1000.0,3.781094527363184e-15,He-8,3.1747225250739733e-17
51,He-10,1000.0,3.781094527363184e-15,Li-8,8.296755109244215e-32
52,He-10,1000.0,3.781094527363184e-15,Be-8,8.099278818191491e-32
53,H-6,1000.0,2.016583747927032e-20,H-3,5.18682490979346e-32
54,Tb-170,10000.0,9600.0,Ho-170,2.0640567521190547e-20
55,He-10,10000.0,3.7810945273631847e-14,He-8,3.1747225250733435e-17
56,He-10,10000.0,3.7810945273631847e-14,Li-8,8.316747290230347e-31
57,He-10,10000.0,3.7810945273631847e-14,Be-8,8.30508016521111e-31
58,H-6,10000.0,2.016583747927032e-19,H-3,5.18682490979346e-32
59,Tb-170,100000.0,96000.0,Ho-170,1.801330745523905e-177
60,He-10,100000.0,3.7810945273631844e-13,He-8,3.1747225250670554e-17
61,He-10,100000.0,3.7810945273631844e-13,Li-8,8.321245530952226e-30
62,He-10,100000.0,3.7810945273631844e-13,Be-8,8.319685422096374e-30
63,H-6,100000.0,2.0165837479270322e-18,H-3,5.18682490979346e-32
64,He-10,1000000.0,3.7810945273631845e-12,He-8,3.174722525004181e-17
65,He-10,1000000.0,3.7810945273631845e-12,Li-8,8.321445452762086e-29
66,He-10,1000000.0,3.7810945273631845e-12,Be-8,8.32134511037879e-29
67,H-6,1000000.0,2.016583747927032e-17,H-3,5.18682490979346e-32
