Radionuclide,Element,Z,A,Metastable_state,Atomic_mass,Atomic_mass_sympy,Half_life,Half_life_units,Half_life_s,Half_life_readable,Num_decay_modes,Mode_1,Fraction_1,Progeny_1,Mode_2,Fraction_2,Progeny_2,Mode_3,Fraction_3,Progeny_3,Mode_4,Fraction_4,Progeny_4
Ac-223,Ac,89,223,,223.019135982,111509567991/500000000,2.10,m,126.0,2.10 m,1,α,0.99,Fr-219,,,,,,,,,
Ac-224,Ac,89,224,,224.02172224900002,224021722249/1000000000,2.78,h,10008.0,2.78 h,2,EC,0.909,Ra-224,α,0.091,Fr-220,,,,,,
Ac-225,Ac,89,225,,225.023228601,225023228601/1000000000,10.0,d,864000.0,10.0 d,1,α,1.0,Fr-221,,,,,,,,,
Ac-226,Ac,89,226,,226.026096999,226026096999/1000000000,29.37,h,105732.0,29.37 h,3,β-,0.83,Th-226,EC,0.17,Ra-226,α,6e-05,Fr-222,,,
Ac-227,Ac,89,227,,227.02775059400003,113513875297/500000000,21.772,y,687057394.61376,21.772 y,2,β-,0.9862,Th-227,α,0.0138,Fr-223,,,,,,
Ac-228,Ac,89,228,,228.031019685,45606203937/200000000,6.15,h,22140.0,6.15 h,1,β-,1.0,Th-228,,,,,,,,,
Ac-230,Ac,89,230,,230.036327,230036327/1000000,122,s,122.0,122 s,1,β-,1.0,Th-230,,,,,,,,,
Ac-231,Ac,89,231,,231.038393,231038393/1000000,7.5,m,450.0,7.5 m,1,β-,1.0,Th-231,,,,,,,,,
Ac-232,Ac,89,232,,232.042034,116021017/500000,119,s,119.0,119 s,1,β-,1.0,Th-232,,,,,,,,,
Ac-233,Ac,89,233,,233.044346,116522173/500000,145,s,145.0,145 s,1,β-,1.0,Th-233,,,,,,,,,
Ag-100m,Ag,47,100,m,99.91613210440448,199832264208808936051/2000000000000000000,2.24,m,134.4,2.24 m,1,β+ & EC,1.0,Pd-100,,,,,,,,,
Ag-101,Ag,47,101,,100.912683951,100912683951/1000000000,11.1,m,666.0,11.1 m,1,β+ & EC,1.0,Pd-101,,,,,,,,,
Ag-102,Ag,47,102,,101.91170453800001,50955852269/500000000,12.9,m,774.0,12.9 m,1,β+ & EC,1.0,Pd-102,,,,,,,,,
Ag-102m,Ag,47,102,m,101.91171462931457,254779286573286404549/2500000000000000000,7.7,m,462.0,7.7 m,2,IT,0.49,Ag-102,β+ & EC,0.51,Pd-102,,,,,,
Ag-103,Ag,47,103,,102.908960558,51454480279/500000000,65.7,m,3942.0,65.7 m,1,β+ & EC,1.0,Pd-103,,,,,,,,,
Ag-104,Ag,47,104,,103.908623715,20781724743/200000000,69.2,m,4152.0,69.2 m,1,β+ & EC,1.0,Pd-104,,,,,,,,,
Ag-104m,Ag,47,104,m,103.90863112245431,207817262244908612033/2000000000000000000,33.5,m,2010.0,33.5 m,2,IT,0.0007,Ag-104,β+ & EC,0.9993,Pd-104,,,,,,
Ag-105,Ag,47,105,,104.906525604,26226631401/250000000,41.29,d,3567456.0,41.29 d,1,EC,1.0,Pd-105,,,,,,,,,
Ag-105m,Ag,47,105,m,104.90655294502119,1049065529450211979171/10000000000000000000,7.23,m,433.8,7.23 m,2,IT,0.9966,Ag-105,β+ & EC,0.0034,Pd-105,,,,,,
Ag-106,Ag,47,106,,105.906663499,105906663499/1000000000,23.96,m,1437.6000000000001,23.96 m,2,β+ & EC,0.99,Pd-106,β-,0.01,Cd-106,,,,,,
Ag-106m,Ag,47,106,m,105.90675975296422,33095862422801316913/312500000000000000,8.28,d,715392.0,8.28 d,1,EC,1.0,Pd-106,,,,,,,,,
Ag-108,Ag,47,108,,107.905950245,21581190049/200000000,2.37,m,142.20000000000002,2.37 m,2,β-,0.9715,Cd-108,β+ & EC,0.0285,Pd-108,,,,,,
Ag-108m,Ag,47,108,m,107.90606776157871,13488258470197338087/125000000000000000,418,y,13190795101.44,418 y,2,IT,0.087,Ag-108,EC,0.913,Pd-108,,,,,,
Ag-109m,Ag,47,109,m,108.90485028605943,544524251430297202583/5000000000000000000,39.6,s,39.6,39.6 s,1,IT,1.0,Ag-109,,,,,,,,,
Ag-110,Ag,47,110,,109.906110724,27476527681/250000000,24.6,s,24.6,24.6 s,2,β-,0.997,Cd-110,EC,0.003,Pd-110,,,,,,
Ag-110m,Ag,47,110,m,109.906236962051,54953118481025495977/500000000000000000,249.76,d,21579264.0,249.76 d,2,IT,0.0136,Ag-110,β-,0.9864,Cd-110,,,,,,
Ag-111,Ag,47,111,,110.905296827,110905296827/1000000000,7.45,d,643680.0,7.45 d,1,β-,1.0,Cd-111,,,,,,,,,
Ag-111m,Ag,47,111,m,110.9053610464082,1109053610464082008561/10000000000000000000,64.8,s,64.8,64.8 s,2,IT,0.993,Ag-111,β-,0.007,Cd-111,,,,,,
Ag-112,Ag,47,112,,111.90704854799999,27976762137/250000000,3.130,h,11268.0,3.130 h,1,β-,1.0,Cd-112,,,,,,,,,
Ag-113,Ag,47,113,,112.906572865,22581314573/200000000,5.37,h,19332.0,5.37 h,2,β-,0.98261,Cd-113,β-,0.017388,Cd-113m,,,,,,
Ag-113m,Ag,47,113,m,112.90661956416845,141133274455210563717/1250000000000000000,68.7,s,68.7,68.7 s,2,IT,0.64,Ag-113,β-,0.36,Cd-113,,,,,,
Ag-114,Ag,47,114,,113.908823029,113908823029/1000000000,4.6,s,4.6,4.6 s,1,β-,1.0,Cd-114,,,,,,,,,
Ag-115,Ag,47,115,,114.908767445,22981753489/200000000,20.0,m,1200.0,20.0 m,2,β-,0.9421,Cd-115,β-,0.05787,Cd-115m,,,,,,
Ag-116,Ag,47,116,,115.911386809,115911386809/1000000000,2.68,m,160.8,2.68 m,1,β-,1.0,Cd-116,,,,,,,,,
Ag-117,Ag,47,117,,116.911774086,58455887043/500000000,73.6,s,73.6,73.6 s,2,β-,0.84703,Cd-117,β-,0.15297,Cd-117m,,,,,,
Ag-99,Ag,47,99,,98.917645766,49458822883/500000000,124,s,124.0,124 s,1,β+ & EC,1.0,Pd-99,,,,,,,,,
Al-26,Al,13,26,,25.986891875999998,6496722969/250000000,7.17E+5,y,22626315999360.0,0.717 My,1,β+ & EC,1.0,Mg-26,,,,,,,,,
Al-28,Al,13,28,,27.981910009,27981910009/1000000000,2.2414,m,134.484,2.2414 m,1,β-,1.0,Si-28,,,,,,,,,
Al-29,Al,13,29,,28.980453164,7245113291/250000000,6.56,m,393.59999999999997,6.56 m,1,β-,1.0,Si-29,,,,,,,,,
Am-237,Am,95,237,,237.049995,47409999/200000,73.0,m,4380.0,73.0 m,2,EC,0.99975,Pu-237,α,0.00025,Np-233,,,,,,
Am-238,Am,95,238,,238.051982531,238051982531/1000000000,98,m,5880.0,98 m,2,β+ & EC,1.0,Pu-238,α,1e-06,Np-234,,,,,,
Am-239,Am,95,239,,239.053022729,239053022729/1000000000,11.9,h,42840.0,11.9 h,2,EC,0.9999,Pu-239,α,0.0001,Np-235,,,,,,
Am-240,Am,95,240,,240.05529837400002,120027649187/500000000,50.8,h,182880.0,50.8 h,2,EC,1.0,Pu-240,α,1.9e-06,Np-236,,,,,,
Am-241,Am,95,241,,241.05682734299998,241056827343/1000000000,432.2,y,13638903451.776001,432.2 y,1,α,1.0,Np-237,,,,,,,,,
Am-242,Am,95,242,,242.059547358,121029773679/500000000,16.02,h,57672.0,16.02 h,2,β-,0.827,Cm-242,EC,0.173,Pu-242,,,,,,
Am-242m,Am,95,242,m,242.05959953224337,1210297997661216864059/5000000000000000000,141,y,4449526577.280001,141 y,2,IT,0.9955,Am-242,α,0.0045,Np-238,,,,,,
Am-243,Am,95,243,,243.061379889,243061379889/1000000000,7.37E+3,y,232574545209.6,7.37 ky,1,α,1.0,Np-239,,,,,,,,,
Am-244,Am,95,244,,244.064282892,61016070723/250000000,10.1,h,36360.0,10.1 h,1,β-,1.0,Cm-244,,,,,,,,,
Am-244m,Am,95,244,m,244.06437875948833,122032189379744168643/500000000000000000,26,m,1560.0,26 m,1,β-,0.9996,Cm-244,,,,,,,,,
Am-245,Am,95,245,,245.066452827,245066452827/1000000000,2.05,h,7379.999999999999,2.05 h,1,β-,1.0,Cm-245,,,,,,,,,
Am-246,Am,95,246,,246.069774,123034887/500000,39,m,2340.0,39 m,1,β-,1.0,Cm-246,,,,,,,,,
Am-246m,Am,95,246,m,246.06980620632305,2460698062063230696369/10000000000000000000,25.0,m,1500.0,25.0 m,1,β-,1.0,Cm-246,,,,,,,,,
Am-247,Am,95,247,,247.072092,61768023/250000,23.0,m,1380.0,23.0 m,1,β-,1.0,Cm-247,,,,,,,,,
Ar-37,Ar,18,37,,36.966776300999996,36966776301/1000000000,35.04,d,3027456.0,35.04 d,1,EC,1.0,Cl-37,,,,,,,,,
Ar-39,Ar,18,39,,38.964313037000004,38964313037/1000000000,269,y,8488813115.52,269 y,1,β-,1.0,K-39,,,,,,,,,
Ar-41,Ar,18,41,,40.96450057,4096450057/100000000,109.61,m,6576.6,109.61 m,1,β-,1.0,K-41,,,,,,,,,
